feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,labels
-0.2765145951887509,-0.4244288139038649,1.3449969452596344,-0.01228261419818937,0.07622994241825963,1.0766475022012314,0.182197529943736,3,0,1,0,0,0,0,10,2,1
0.8535731369745312,0.15099125924359966,0.5038918117217194,-0.9791791664971932,-0.5693506376457914,-0.4114531064930479,-0.25194037067217256,4,1,2,0,1,0,0,0,3,0
0.9477471146548048,-0.17383205830368484,1.8256284501384432,-0.7034777399380394,0.07622994241825963,-0.4114531064930479,-0.25194037067217256,6,1,2,0,0,0,0,5,3,0
0.8535731369745312,-0.3814036828637292,0.9845233166005279,-0.03946444498571156,-0.5693506376457914,-0.4114531064930479,-0.25194037067217256,4,0,2,0,1,0,0,5,3,0
1.3244430253758988,1.5905267504566916,-1.1783184553541108,-0.0977112252446877,-0.2465603476137659,-0.4114531064930479,-0.25194037067217256,0,1,1,0,0,0,0,8,3,0
1.4186170030561722,-0.4474193419405787,1.3449969452596344,0.15469148921087555,-0.5693506376457914,0.7071191631294976,3.221162834255096,4,1,1,0,0,0,0,10,1,1
0.28852927089289016,-0.32228518219789376,-0.8178448266950046,-0.6452309596790633,-0.5693506376457914,-0.4114531064930479,-0.25194037067217256,9,1,1,0,1,0,0,5,3,0
0.006007337852069585,-0.3321382656421996,-0.8178448266950046,-0.3229321089127287,-0.5693506376457914,-0.4114531064930479,-0.25194037067217256,9,1,1,0,1,0,0,5,3,0
-1.5007763050323066,0.02322961058243316,-0.09689756937679153,1.0167438370437225,-0.5693506376457914,-0.4114531064930479,-0.25194037067217256,8,2,2,0,1,0,0,8,3,0
0.8535731369745312,-0.4221297611001935,1.3449969452596344,-0.4666075002182032,-0.2465603476137659,-0.4114531064930479,-0.25194037067217256,7,1,1,0,0,0,0,8,3,0
-0.2765145951887509,-0.35151599641600123,-1.1783184553541108,-0.6762959091505173,-0.2465603476137659,-0.4114531064930479,-0.25194037067217256,1,1,1,0,1,1,2,6,3,0
-0.9357324389506656,-0.3722074716490436,-0.9380027029147068,-0.2802178033894796,-0.2465603476137659,-0.4114531064930479,-0.25194037067217256,1,1,0,0,0,0,1,5,3,0
1.0419210923350783,-0.3662956215824601,1.5853126976990388,0.03819792869292328,1.0446008125143362,-0.4114531064930479,-0.25194037067217256,11,1,0,0,0,0,0,5,3,0
-0.08816663982820393,-0.4438065446776665,-1.1783184553541108,-0.8355037751917187,-0.5693506376457914,-0.4114531064930479,-0.25194037067217256,10,2,1,0,1,0,2,8,3,0
-0.08816663982820393,-0.3452757102346075,-1.1783184553541108,1.8632637101408418,-0.2465603476137659,-0.4114531064930479,-0.25194037067217256,9,0,1,0,0,0,0,1,3,1
-0.5590365282295715,-0.542994251350346,0.5038918117217194,-0.2375034978662304,0.07622994241825963,-0.4114531064930479,-0.25194037067217256,7,2,1,0,1,0,0,0,3,0
-0.3706885728690245,-0.12423820496734515,-1.1783184553541108,0.29448376183241826,-0.5693506376457914,-0.4114531064930479,-0.25194037067217256,6,2,2,0,0,0,2,6,3,0
-0.3706885728690245,-0.3022505791944717,0.5038918117217194,-0.8044388257202648,0.3990202324502852,3.084085236077407,0.182197529943736,9,2,1,0,1,0,0,0,1,0
-1.4066023273520332,1.0676564556788586,1.4651548214793366,1.5720298088459614,0.07622994241825963,1.5560356177537509,0.6163354305596446,8,2,1,0,0,0,0,8,1,1
-0.5590365282295715,-0.5922596685718754,-1.1783184553541108,-0.41612695732709054,-0.5693506376457914,-0.4114531064930479,-0.25194037067217256,1,2,1,0,1,0,0,8,3,0
-0.9357324389506656,-0.3751633966823354,-1.4186342077935157,-0.004516376830325885,-0.2465603476137659,1.4361885888656207,0.6163354305596446,4,2,2,0,1,0,0,9,0,0
0.006007337852069585,-0.4119482415410775,-0.33721332181619584,-0.6801790278344491,1.367391102546362,-0.4114531064930479,-0.25194037067217256,7,1,1,0,1,1,2,8,3,0
-1.029906416630939,-0.4615420948774172,0.14341818306261284,-0.695711502570176,-0.5693506376457914,2.844391178301147,0.6163354305596446,7,1,1,0,1,1,0,0,1,0
-0.5590365282295715,0.10698081985903332,-1.0581605791344089,-0.8432700125595822,0.3990202324502852,-0.4114531064930479,-0.25194037067217256,1,2,1,0,1,0,1,5,3,0
0.3827032485731636,-0.3731927799934742,-1.4186342077935157,-0.3423477023323874,-0.2465603476137659,1.7158316562712574,0.6163354305596446,1,1,1,0,0,0,1,3,0,0
-0.18234061750847744,-0.1961657141107782,-0.8178448266950046,-0.4005944825913636,0.07622994241825963,-0.4114531064930479,-0.25194037067217256,0,0,1,0,0,0,2,6,3,0
-0.9357324389506656,0.02585709950091473,0.14341818306261284,-0.39671136390743184,-0.5693506376457914,-0.4114531064930479,-0.25194037067217256,4,2,2,0,0,0,0,1,3,0
-0.2765145951887509,-0.3968401802598084,-0.5775290742556002,-0.2375034978662304,-0.5693506376457914,-0.4114531064930479,-0.25194037067217256,2,2,0,0,1,0,0,8,3,0
-0.3706885728690245,-0.20996003093280646,1.4651548214793366,-0.8510362499274456,-0.5693506376457914,-0.4114531064930479,-0.25194037067217256,3,1,1,0,0,0,1,4,3,0
-0.653210505909845,0.3562638309999726,-0.21705544559649367,0.2789512870966913,-0.2465603476137659,-0.4114531064930479,-0.25194037067217256,1,1,1,0,1,0,0,8,3,0
-0.8415584612703921,-0.1580671247927954,-0.9380027029147068,-0.695711502570176,-0.5693506376457914,-0.4114531064930479,-0.25194037067217256,9,2,2,0,0,0,0,1,3,0
